Name,Continent,Team,Pos,Age,MP,Starts,Min,CrdY,CrdR,PrgC,PrgP,PrgG,G.A.PK_90
Leandro Trossard,Europe,ARS,FWMF,28,34,18,1649,2,0,66,76,155,0.71
Gabriel Jesus,South America,ARS,FW,26,27,17,1478,6,0,38,42,155,0.55
Gabriel Martinelli,South America,ARS,FW,22,35,24,2019,1,0,127,65,345,0.45
Gabriel Magalhães,South America,ARS,DF,25,36,34,3044,4,0,13,117,8,0.12
Reiss Nelson,Europe,ARS,FW,23,15,1,268,1,0,9,5,26,0
Emile Smith Rowe,Europe,ARS,MF,23,13,3,353,0,0,11,23,18,0.25
Eddie Nketiah,Europe,ARS,FW,24,27,10,1082,3,0,22,20,77,0.58
Bukayo Saka,Europe,ARS,FW,21,35,35,2919,4,0,155,126,508,0.59
Ben White,Europe,ARS,DF,25,37,35,2988,8,0,44,192,162,0.24
Declan Rice,Europe,ARS,MF,24,38,37,3225,5,0,75,278,64,0.42
William Saliba,Europe,ARS,DF,22,38,38,3420,4,0,16,157,6,0.08
Kai Havertz,Europe,ARS,MFFW,24,37,30,2634,11,0,55,99,191,0.65
Thomas Partey,Africa,ARS,MFDF,30,14,9,788,3,0,15,72,10,0
Jorginho,Europe,ARS,MF,31,24,10,921,1,0,8,101,8,0.2
Takehiro Tomiyasu,Asia,ARS,DF,24,22,10,1149,2,1,17,72,37,0.23
Martin Ødegaard,Europe,ARS,MF,24,35,35,3091,2,0,91,344,202,0.47
Jakub Kiwior,Europe,ARS,DF,23,20,11,946,1,0,4,55,16,0.38
Fabio Vieira,Europe,ARS,MFFW,23,11,2,297,0,1,12,15,30,0.61
Oleksandr Zinchenko,Europe,ARS,DF,26,27,20,1722,2,0,40,229,58,0.16
Leander Dendoncker,Europe,AVL,MF,28,8,1,119,0,0,0,3,2,0.76
Youri Tielemans,Europe,AVL,MFFW,26,32,17,1622,3,0,23,128,46,0.44
Diego Carlos,South America,AVL,DF,30,27,20,1816,4,0,4,59,1,0
Douglas Luiz,South America,AVL,MF,25,35,35,2993,12,0,60,168,50,0.3
Jhon Durán,South America,AVL,FWMF,19,23,3,475,5,0,9,9,25,0.95
Calum Chambers,Europe,AVL,MFDF,28,5,1,152,1,0,0,5,1,0.59
Tim Iroegbunam,Europe,AVL,MF,20,9,1,164,0,0,3,1,0,0
Morgan Rogers,Europe,AVL,MFFW,21,11,8,638,3,0,22,28,30,0.56
Jacob Ramsey,Europe,AVL,FWMF,22,16,8,853,2,0,33,28,69,0.21
Ezri Konsa,Europe,AVL,DF,25,35,35,3069,5,0,37,136,33,0.03
Ollie Watkins,Europe,AVL,FW,27,37,37,3217,4,0,62,55,214,0.9
Álex Moreno,Europe,AVL,DF,30,21,11,1031,2,0,32,24,83,0.17
Pau Torres,Europe,AVL,DF,26,29,27,2464,1,0,42,128,16,0.07
Clément Lenglet,Europe,AVL,DF,28,14,14,1153,3,0,26,51,1,0.08
Boubacar Kamara,Europe,AVL,MF,23,20,20,1652,7,1,19,83,10,0.05
Moussa Diaby,Europe,AVL,FWMF,24,38,25,2174,1,0,94,72,183,0.58
Lucas Digne,Europe,AVL,DF,30,33,27,2410,7,0,42,77,200,0.15
Nicolò Zaniolo,Europe,AVL,FWMF,24,25,9,839,7,0,35,30,60,0.21
Leon Bailey,North America,AVL,MFFW,25,35,22,2068,5,0,102,82,226,0.83
Matty Cash,Europe,AVL,DF,25,29,23,2142,8,0,62,88,101,0.17
John McGinn,Europe,AVL,MFFW,28,35,35,2999,9,1,59,189,84,0.3
Marcos Senesi,South America,BOU,DF,26,31,26,2242,13,0,31,127,4,0.36
Dango Ouattara,Africa,BOU,FW,21,30,12,1229,3,0,47,35,90,0.22
Luis Sinisterra,South America,BOU,FWMF,24,20,7,699,0,0,51,38,85,0.52
Philip Billing,Europe,BOU,MF,27,29,13,1398,3,1,22,53,63,0.26
